MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
闷想,7,灯谜,根据字的拆分、组合以及字词近义联想、合成,闷字可拆为心、门，一门心即闷，想解为思，可得一门心思,一门心思,yī mén xīn sī,指一心一意。,他～地想对她好。
石榴成熟,2,谜语·灯谜,根据所描述事情所产生的景象联想,石榴成熟的时候经常会裂开露出石榴籽，可以解为皮开肉绽,皮开肉绽,pí kāi ròu zhàn,皮肉都裂开了。形容伤势严重。多指受残酷拷打。,那两个举起大板，打的～，喊叫连声。（清·李汝珍《镜花缘》第五十一回）
黄瓜敲木钟,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,一声不响,yī shēng bù xiǎng,指不发出一点声音,钱钟书《围城》：“她小时候常发现树上成群聒噪的麻雀忽然会～，稍停又忽然一齐叫起来，人谈话时也有这景象。”
列车正点起动,3,谜语·灯谜,根据谜题字词近义联想、合成,可以解为时间到了、来了列车就开始运行转动起来，可得时来运转,时来运转,shí lái yùn zhuǎn,旧指时机来了，命运也有了转机。指境况好转。,～，他准确地掌握了市场信息，使厂里的产品对路，工厂扭亏为盈。
时迁,5,灯谜,根据谜题字词别意以及近义联想、合成,时可解为时间、岁月，迁可解为变动、不停留，停留即居，于是可解为岁月不居,岁月不居,suì yuè bù jú,居：停留。指时光流逝。,人们经常感叹～。
最大的谎言,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,弥天大谎,mí tiān dà huǎng,弥天：满天。形容天大的谎话。,“谁撒这个～啊，”胖老婆道：“那可丧尽天良啊！”（冯德英《迎春花》第十四章）
见,6,灯谜,根据字的拆分、组合、繁体以及近义联想,繁体字見可拆分为目、儿，儿可解为子，目无余子为見,目无余子,mù wú yú zǐ,余子：其他的人。眼里没有旁人。形容自高自大，目中无人。,听他口气，已是～。（蔡东藩、许廑父《民国通俗演义》第八回）
盼团圆,5,上楼格,根据谜题字词别意以及近义联想、合成,团圆可解为不分开、非分，盼即想，可得想非分之，由于上楼格，解得非分之想,非分之想,fēi fèn zhī xiǎng,非分：不属自己分内的。妄想得到本分以外的好处。,不信运命，学不能“安分”，穷人买奖券，便是一种“～”。（鲁迅《花边文学·运命》）
呆,5,灯谜,根据字的拆分以及结构联想、合成,呆字可拆为口、木，上下结构，二者相交可得困字，于是可解为上下交困,上下交困,shàng xià jiāo kùn,指上面（政府）下面（人民）都处于困难的境地。,《清史稿·食货志一》：“以中国所有财产抵借外债，积数十年不能清偿。摊派加捐，～。”
律师当场指导,5,上楼格,根据谜题字词别意以及相关义联想、合成,律师联想为法律，当场即就地，指导可解为指正，即得法就地正，由于上楼格，可得就地正法,就地正法,jiù dì zhèng fǎ,在犯罪的当地执行死刑。,冰心《去国》：“现在到处都挂着他的相片，缉捕得很紧，拿着了～。”
好了伤疤不忘痛,1,谜语,根据谜题意思联想、合成,痛好了不能忘记痛，即得痛定思痛,痛定思痛,tòng dìng sī tòng,指悲痛的心情平静以后，再追想当时所受的痛苦。常含有警惕未来之意。,境界危恶，层见错出，非人世所堪。～，痛何如哉！（宋·文天祥《指南录后序》）
满园春色关不住,7,谜语·灯谜,根据诗句以及字词近义、相关义联想、合成,春色即花、树，关不住可解为招摇、隐藏不住、向往扩展，可得花枝招展,花枝招展,huā zhī zhāo zhǎn,招展：迎风摆动的样子。形容打扮得十分艳丽。,这些姑娘一个个都打扮得～。
共隐,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,共隐解为一起去隐居，一起即手挽手，可解为把臂，隐居可解为进入山林，即得把臂入林,把臂入林,bǎ bì rù lín,把：指挽着；林：山林。互挽手臂，表示亲热。旧指相偕归隐。,清·王韬《自序》：“使蒲君留仙见之，必欣然～。”
