RADICAL,HZCNT,INHZ
艹,545,英花满落节营苏苦蘭若药劳获范艺草藏莫荣著蒙萨蒋蓝莱菜茶艾荒菲荡荷蒂薄芳垂董苍菌莲莉芬萧葛苗茨茫薛蓄葬蔽莎葡芝薪萍藤菩萄蔡芒茂茅蒲蒸荐蓬瞒芦苹菊芯荆蔑藩芙蕴藻莹荫茎莽蔬芽萝萎茵蓉菱蔓苑萌苟莺葱苛茜芸蕉苔芭茄蔚薇苇芜葫蕊菇菁蕾茸薯荧萤蒜蔼萃蘑茹葵茧蕃苯荀芹藐荃茬苞荔萦藕蓓荼蔷蘸蔗葆芥荟蹒茗蕙荪茉萼莓芮荚蓿藓苓萱芋荨莞蕨蓟荤蒿芍荩莘芷茁苷蓑荭芪苻菠荻藜苫螨芩艿苁薏蔫茏茯苣苋薮莅苡菏莆芨蓖葺茑蒯苜荞荥芾芏芎苌芄莒萸芗菸葩藿菟芡菖莜菅莴莠荛菬蔺蒺苄苕菀芰蕲芫莸茴苤鞴芟苎茱苴薜菔菹菽萘芤芊葎莼蘅荏艽荠茔薹荽萋葭萑蕖蘩苊莪蘼蒌芑葑蓼莩葚菘葜薅蒡蒴藁茭苒荸荦芴菰莳菪莨菡蘧蓍蕹茕荈苈蕤颟葸荑莶蓊薷萁葳葶蕰萆蓚茛蕈荇茀荜菝藚蕻菥萏芘萜藴蒗茆蓁菧蓐菃蕞茇蒹蒐蓥藭蒨蓣薤蔌蕿蒽茖蔯蕺蔀蔎茌莤茈萩瞢菑蕅葰茼茐葌莛苾茺莾薿蔸葴蒷蕗葙菍苿菢蔂藞蕡蔟蒇荅菉菵蕚蓇茷蒾蓏薳藛蓠蓰菴芖臓葍葞葻藙蒉荄蓡苠茣菒蕝茚雚藬蓺薾菂薢藷藠蕂茊菫蓞芃苽莿菆藗藧苘苙葹蓂蔲薋莚萗葘葢藘鄿荬苲蒃薀荖蕌苼蓨蓵蓾藦虀蒦藇苶菭葖蕳苃蒟藣虈芵藫茽菕蓛蓷蓸蔘蕼藖藢蔊荘蒻蔴茢蘁蘘繤菄葾蒕蒘蓃蓆蔱蓳茞葨蒄蒭薂藯蒈藑茿莂薃艼荢萚蓗蓱蕋蕟薐薠蘓蘪轥苅莁菞菳萈蒁蒑蓔蓕蔙蔿蕧薆薗薝藀蘌虋葏蕣菓菙菚菣菨葔葠葮葲蓙蔁蕜蕦薖藨藰藳虃荮葋蕒芼萢蓧蔄葇葟蒪蘂荙莕莙
氵,363,法没海活治清济流深满消注河江波源游洲激汉演沉酒洋沙湾测温溫渐漸湖港油泽洛洞潜混染沿浪汇汽涉洗泪淡潮泛洪津润污渡梁液漫浮滑汗泥洁滚漂浓沟湯澳涌沈池浅涂湿渔漠涨沃添浩汪滴溃溜滋茫渴浑泡泄泊漏涛滩潘灌浙浦淋萍渊溪湘溶滥洒浴淮漆淫滞渠泼涵涅浸沾衍泣溢滨沼沫淘渗汁汝淹涯泳泌淑澡沸泻沦沪汹潭澄涡滔溯澜涩浇沮溅渺汰浊淌涕沧沁沛洽淳濒淀汀湛瀑渣潇涤洼滤淆溺沌澈渎汲漱漓沐澎沽溉滇淤沥粱渲渭湄渝淄漉瀚漪漾漩汶潦浚汛渤汾涎渍沂浒漳湃涧涣湍涸汕溥涟瀛泞淖淇潼潺淞涓湮濑洵淙涝洄汐渥沅溟澹潞濮濂泯洌浜汩浣汴漕沣沱泗滦泓滂涿泾涞沏湎滓涮潢濡泅淦淅滢洹涔泸澧濯潍泱渌湟浔渚沤淬浃泷溴濠灏涫淝潆汨洱浠潸濉涪汊浯溆潴涑浞湫洙滟泠洳渑灞洮澍滁汜泫溧沆泔溘澶渖湔浼瀣泮濞湓漯溏涠溲滹渫澌洇淠潋沭沔溱漶洎溽浍溷泐菃泺柒汔洫滏蕅潲洧滠澉溻滗瀹泖洚沩沲盕漤漭薃蓱盓虃
扌,266,把提打报接指据拉持技找推投护批按排担挥执抗控托换掉括损探摇招择授抓握扩拥抵抱折振搞措摆拍操抽援挂描撤播挑捕拒摸抬摄扎抢扫撒挺扰拖插拔扑掩撞拟搜扶扣挤揭抛抚抑抖擦搬押捷扭拨拼捉搭挖掠挣扔挡拾携扮拦挨摘披拆扯抹拘摊摧撑挪掘抄掏挽拐捐拓摔撰撕捧搏拢擅搁挫掀捏捞拱掷拂捆搅拙捣捡拯挠搂揽挟揉擒撇扼拚撼扛拇揣揪抒捂搓扒扳拴拧拷拽捍掺拭捅拎搀抨攘搔掳捻捶撮掐揖撩揍攒拌抉捎撬拈拗揩搐擂攫挝抿箍摒撵撂攥捺掖抡擞撸挎掂捋搪抠撅拄摞捱摈掬掸扪擢掇挞拮搽揆抟搡摁撷揄揿掮抻掼擤箝揶掾擀捌摭扦拊撺捩挹捭撄籀揎撙搠搦拶掊攮摅攉揠搛揸擐捃搋挢揲掎揞掭搌擗簼籒
钅,236,钱错银铁销钟镇针镜键锁钢铺锋钻铜锐锦铃锡铭锅链钦钩钉钓衔钥钧镑铸锻铅钞钮镖锤钙镶铲钝锥锯铀铮锣铝镕钊钳锈钠锚锌锄钵铢钗铎铐钾镰镯钡镀锢锵镁铿锹铬锭锺锰镭镐镌锏镂钛钚铠镣铛镍铡钰镳钜铰锟钍锨铩铂铤锷铨锲钴铣铱铉钨锃锉锂锴镏镉钤铵钒钏钿锶镒镢钹锒锕铆镊锑锸钪铄锆钺钼铧镧锩钕镫钋镛镆钣铍钭钌锗镞铳锛铋钎钇铯锜锊钔钫锼锿钯铒锱锝镅铑锍镬镓锪镄锞锓锇锖锘锔钽铌钐锬镪锎镗锾锫镝铙镔镠钆镎铈铖铊铗铦镡镨铟铷铫钬镟钸铕铪钲铓铼铚镩铏钘镴镙镱镈镚锽铥镮钷镲铽铻铞镘铔镤镥镦锳钶镵铹镃钑锧
亻,227,他们你作但使應体什代信化位任何做件保便像住传候价似仅例供依低值仍倒假伤夜停修伊佛优份付伯伦俄健借伙亿休侵促伟伸偏侠侧债仙仿倾仪偷伴估偿俗仁偶仰伏倍伍侦佩储仇伪仔俩佳仲仗侯伐仆俊侍傅俱鹰傲傻儒僧俘催佐倘倡僚俯倦僵侨伽佣雁傍倩倚侮侣侄俺佑伺倏僻俏俭伶仕侈佟侬佃倪侃佬伎伢侥倭佯攸俾倔俨俐俟偎侏偕傩膺佚僭傣俸傀偌儡佼伫偃倌濮偈俚俑侗伲俦儆僮佗偻俪仨佞僖倜傥俣仃俳伉佝佻倨侩傈僳侪佰僦仟佶佤仞伥俅倮伧倥倬傧侔偾儋偬仫仡伛僬俜侉佴傺侑仵佾儇脩篠翛仂仳仉佧鞗臮鯈纀蓧
阝,188,那都部队院际除阿随陈陳防限阳险陆降阶阵附阴隐萨郑耶阻障陷隔邦隆邪陶邓邮邻陪郭郁陵陀陕陌郡郊陡隙邱鄙陋堕陛邵隋鄂郝邹隘邸阮阱陨椭隧陇邢隅祁阪邯郸邙郅隍邺鄱郏邝郢陂陲郧邛隗酆郛郦阡鄣邬鄯郯鄢郃郓郴邨鄄陉陟郾邰鄞酃邳鄹郜陬隰鄩郿郗隈邠邽鄗陔泐郫陠郤邗阼阯陴郄邴邾阨邡阽邲郇陁鄬郕陧郙邶鄚郐隃邿鄦酂酇郋鄜酁隤郞郪鄘鄠鄤陙隂邘鄳郈郀陗陼鄷鄫鄿酀鄛鄡阢阤郘阸邼陜鄮隩鄟鄑隝隥隦鄍邔邥陮陻隣
讠,153,说话论认计许设记该让识议证调请谈语讲诉试谁读评讨误谢诗谓词诺谋诸训访诚订译课罚讯辩诊详狱询诱讼谨诞谅谊谭讶谎谱讽谦谬谍诈谐谜谴诵谕诡谣诏诧诫诀讳讥谏诬诅谟谤诛谛谒诘诣诲诽谚谑讪诠诃讹诩讷谩谀谙诰诙谆谥谧谌谄谡诿谔诒谝谗诤诋诳谘讫诜谖诮诨讣谶讴诌谲诟诓诖诹诂谪谠谯讦讧诔讵诎诶雠谰谇诼谵谂谳谮谞谫诪谉诐讬讱诇
纟,148,经给结统组级约线红维续终绝织纪细继纳编纸绿缓络纯纷绍纵缘缩绪综绕绩纠纽纹绘缴缝纲绳缠纤绵绢纺绑纱绣绅缚绸绞缅绒缔纬绥缆缕绰绷缀绎缎绽缉绊辫绫缪纶绮缭绚缤缰绯缄缮绛绶缨纫纭纣缜纾缥绺绾缫缈绻辔绉绌缙纥绦缢缂缛绀缬绱缦绔纰纡缟缁纨缃缗绲缒缯缇缱绨缣缡缧缌缑绡缍缋纻绂缵纮缏绁缞绐缳纩绋绖绠绹缊缲纴绤绗
辶,138,这过過道还进通达達边运造近远遠连連随选速送适述退追遗遇逐避逃迫遍遭迎透途迅迹迷违迟返迪递巡逼逻遵迁逊迈遥遣邀逆遂辽逝遮逢逮逸迦迄逗逾逛遏髓迂迭逞遁迸逍迥逵遐迢遽邃迩逅迳迨遛邂暹迤遨邋邈逡遑遢遴逋逶逖逦遒逑逯迕逭遄逄迓迮遹讉迻逿迯遘遆逌邆遯遝遡邅邉迏込藗迺迒迆逤迋逓逷遈邌逇遶迍
丿,137,有么看無第將向化先系尔少必区告师師帶争每失布流复希严族施杀友千伤负游追左右弟介升监監临奥午延舞赵币拜弗灰衡凶旋乏旗黎乔拖饰鉴览疏薛冈卑渊寡乞詹勿梳硫屯尹琉毓夭粤叱戎尧乒肴囱饬奂胤壬旌掰醯刍迤刈旖旎囟旃氘搿鞴乇旆亓蝣畀黧旒锍旄巯郄絁蜁陁粚氕艈㲋沲腗覙盬糱蠥駞逓夐鍳鯬穐菞酼袘鴭
