TIMU,CHAODAI,ZUOZHE,NEIRONG,YIWEN,ZZJIANJIE
菩萨蛮·平林漠漠烟如织,唐代,李白,平林漠漠烟如织，寒山一带伤心碧。#暝色入高楼，有人楼上愁。#玉阶空伫立，宿鸟归飞急。#何处是归程？#长亭连短亭。,远处舒展的树林烟雾漾潆，好像纺织物一般，秋寒的山色宛如衣带，触目伤心的碧绿。暮色进了高高的闺楼，有人正在楼上独自忧愁。玉石的台阶上，徒然侍立盼望。那回巢的鸟儿，在归心催促下急急飞翔。哪里是我返回的路程？过了长亭接着短亭。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
忆秦娥·箫声咽,唐代,李白,箫声咽，秦娥梦断秦楼月。#秦楼月，年年柳色，灞陵伤别。#乐游原上清秋节，咸阳古道音尘绝。#音尘绝，西风残照，汉家陵阙。,玉箫的声音悲凉呜咽，秦娥从梦中惊醒时，秦家的楼上正挂着一弦明月。秦家楼上的下弦月，每一年桥边青青的柳色，都印染着灞陵桥上的凄怆离别。遥望乐游原上冷落凄凉的秋日佳节，通往咸阳的古路上音信早已断绝。西风轻拂着夕阳的光照，眼前只是汉朝留下的坟墓和宫阙。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
三五七言/秋风词,唐代,李白,秋风清，秋月明，落叶聚还散，寒鸦栖复惊。#相思相见知何日？#此时此夜难为情！#入我相思门，知我相思苦，长相思兮长相忆，短相思兮无穷极，早知如此绊人心，何如当初莫相识。,秋风凌清，秋月明朗。风中的落叶时聚时散，寒鸦本已栖息，又被明月惊起。朋友盼着相见，却不知在何日，这个时节，这样的夜晚，相思梦难成。走入相思之门，知道相思之苦，永远的相思永远的回忆，短暂的相思却也无止境，早知相思如此的在心中牵绊，不如当初就不要相识。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
渔歌子·西塞山前白鹭飞,唐代,张志和,西塞山前白鹭飞，桃花流水鳜鱼肥。#青箬笠，绿蓑衣，斜风细雨不须归。,西塞山前白鹭在自由地翱翔，江水中，肥美的鳜鱼欢快地游着，漂浮在水中的桃花是那样的鲜艳而饱满。江岸一位老翁戴着青色的箬笠，披着绿色的蓑衣，冒着斜风细雨，悠然自得地垂钓，他被美丽的春景迷住了，连下了雨都不回家。,张志和（730年(庚午年)～810年？），字子同，初名龟龄，汉族，婺州（今浙江金华）人，自号“烟波钓徒”，又号“玄真子”。唐代著名道士、词人和诗人。十六岁参加科举，以明经擢第，授左金吾卫录事参军，唐肃宗赐名为“志和”。因事获罪贬南浦尉，不久赦还。自此看破红尘，浪迹江湖，隐居祁门赤山镇。其兄张鹤龄担心他遁世不归，在越州（今绍兴市）城东筑茅屋让他居住。史载唐肃宗曾赐他奴婢各一人，张志和让他们结婚，取名渔童和樵青。著有《玄真子》集。
调笑令·边草,唐代,戴叔伦,边草，边草，边草尽来兵老。#山南山北雪晴，千里万里月明。#明月，明月，胡笳一声愁绝。,边塞的野草啊，边塞的野草！野草枯尽时。戍边的兵士已老。山南山北雪后放睛，千里万里处处月明。明月啊，明月！远处传来胡笳一声，令人肠断欲绝。,戴叔伦(732—789)，唐代诗人，字幼公（一作次公），润州金坛(今属江苏)人。年轻时师事萧颖士。曾任新城令、东阳令、抚州刺史、容管经略使。晚年上表自请为道士。其诗多表现隐逸生活和闲适情调，但《女耕田行》、《屯田词》等篇也反映了人民生活的艰苦。论诗主张“诗家之景，如蓝田日暖，良玉生烟，可望而不可置于眉睫之前”。其诗体裁皆有所涉猎。
宫中调笑·团扇,唐代,王建,团扇，团扇，美人病来遮面。#玉颜憔悴三年，谁复商量管弦。#弦管，弦管，春草昭阳路断。,团扇，团扇，宫中的美人病后用它来遮面。抱病三年，容颜憔悴，再没有谁同她商量管弦！管弦，管弦，无情的春草把通往昭阳殿的道路阻断。,王建(约767年—约830年)：字仲初，生于颍川(今河南许昌)，唐朝诗人。其著作，《新唐书&183;艺文志》、《郡斋读书志》、《直斋书录解题》等皆作10卷，《崇文总目》作2卷。
竹枝词·山桃红花满上头,唐代,刘禹锡,山桃红花满上头，蜀江春水拍山流。#花红易衰似郎意，水流无限似侬愁。,春天，山上的野桃花红艳艳的开的正旺，蜀江的江水拍着旁边的悬崖峭壁。一位姑娘看见了，认为丈夫的喜爱如同这桃花转瞬即逝，而无限的忧愁就如这源源不断的江水。,刘禹锡（772－842），字梦得，汉族，中国唐朝彭城（今徐州）人，祖籍洛阳，唐朝文学家，哲学家，自称是汉中山靖王后裔，曾任监察御史，是王叔文政治改革集团的一员。唐代中晚期著名诗人，有“诗豪”之称。他的家庭是一个世代以儒学相传的书香门第。政治上主张革新，是王叔文派政治革新活动的中心人物之一。后来永贞革新失败被贬为朗州司马（今湖南常德）。据湖南常德历史学家、收藏家周新国先生考证刘禹锡被贬为朗州司马其间写了著名的“汉寿城春望”。
潇湘神·斑竹枝,唐代,刘禹锡,斑竹枝，斑竹枝，泪痕点点寄相思。#楚客欲听瑶瑟怨，潇湘深夜月明时。,斑竹枝啊斑竹枝，泪痕点点寄托着相思。楚地的游子啊若想听听瑶瑟的幽怨，在这潇水湘江之上当着夜深月明之时。,刘禹锡（772－842），字梦得，汉族，中国唐朝彭城（今徐州）人，祖籍洛阳，唐朝文学家，哲学家，自称是汉中山靖王后裔，曾任监察御史，是王叔文政治改革集团的一员。唐代中晚期著名诗人，有“诗豪”之称。他的家庭是一个世代以儒学相传的书香门第。政治上主张革新，是王叔文派政治革新活动的中心人物之一。后来永贞革新失败被贬为朗州司马（今湖南常德）。据湖南常德历史学家、收藏家周新国先生考证刘禹锡被贬为朗州司马其间写了著名的“汉寿城春望”。
忆江南·江南好,唐代,白居易,江南好，风景旧曾谙。#日出江花红胜火，春来江水绿如蓝。#能不忆江南？,江南的风景多么美好，如画的风景久已熟悉。春天到来时，太阳从江面升起，把江边的鲜花照得比火红，碧绿的江水绿得胜过蓝草。怎能叫人不怀念江南？,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
忆江南词三首,唐代,白居易,江南好，风景旧曾谙。#日出江花红胜火，春来江水绿如蓝。#能不忆江南？#江南忆，最忆是杭州。#山寺月中寻桂子，郡亭枕上看潮头。#何日更重游！#江南忆，其次忆吴宫。#吴酒一杯春竹叶，吴娃双舞醉芙蓉。#早晚复相逢！,江南的风景多么美好，如画的风景久已熟悉。春天到来时，太阳从江面升起，把江边的鲜花照得比火红，碧绿的江水绿得胜过蓝草。怎能叫人不怀念江南？,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
