HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
的,白勺,1,dí#dì#de,真实，实在：～确。～当。～情。～真。～证。,possessive#adjectival suffix,0,2
一,一,211,yī,数字。#纯、专：专～。#全、满：～生。#相同：～样。#表示动作短暂，具试探性：试～试。#部分联成整体：统～。#初次：～见如故。,one#a#an,0,1
是,是,15,shì,表示解释或分类。#存在。#承认所说的，再转入正意。#适合。#任何。#用于问句。#加重语气。#对，与“非”相对。#应承同意。,indeed#yes#right,0,1
不,不,12,bù#fǒu,副词。#用在动词、形容词和其它词前面表示否定或加在名词或名词性语素前面，构成形容词：～去。～多。～料。#单用，做否定性的回答。#用在句末表疑问。,no#not#un-,0,1
了,乛亅,6,liǎo#le,明白，知道：明～。#完结，结束：～结。#在动词后，与“不”、“得”连用，表示可能或不可能：看不～。#与“得”、“不得”前后连用，表示异乎寻常或情况严重。,to finish,0,2
在,在,1,zài,存，居：存～。#存留于某地点：～家。#关于某方面，指出着重点：～乎。#动作进行。#介词：～逃。～理。～世。#和“所”连用，表示强调：～所不辞。,be at#in#on,0,1
人,人,74,rén,由类人猿进化而成的能制造和使用工具进行劳动、并能运用语言进行交际的动物：～类。#别人，他人：待～热诚。#人的品质、性情、名誉：丢～，文如其～。,man#people#mankind,0,1
有,丿一月,13,yǒu#yòu,存在：～关。#所属：拥～。#表示发生、出现。#表示估量或比较。#表示大、多。#用在动词前面表示客气。#无定指，与“某”相近。#用在朝代名称的前面。,have#own#possess,0,3
我,我,12,wǒ,自称，自己，亦指自己一方：～们。～见。～辈。～侪。自～。～盈彼竭。,our#us#i,0,1
他,亻也,0,tā,称你、我以外的第三人，一般指男性，有时泛指，不分性别：～们。～杀。#别的，另外的：～人。～日。～乡。～山之石，可以攻玉。其～。#虚指：睡～一觉。,other#another#he,0,2
这,辶文,0,zhè#zhèi,代词，此，指较近的时间、地点或事物，与“那”相对：～里。～些。～个。～样。#这时候，指说话的同时：他～就来。,this#the#here,0,2
个,人丨,0,gè#gě,量词：三～月。洗～澡。#单独的：～人。～性。～位。#身材或物体的大小：高～子。#用在动词与补语中间，以加强语气：笑～不停。吃～饱。,numerary adjunct#piece#single,0,2
们,亻门,0,mén,加在名词或代词后，表示复数：我～。他～。同胞～。#口语中表示类属：哥儿～。。,adjunct pronoun indicate plural,0,2
中,口丨,16,zhōng#zhòng,和四方、上下或两端距离同等的地位：～心。#在一定范围内，里面：暗～。#性质或等级在两端之间的：～等。#正在：进行～。#中国。#适于：～看。,central#center#middle,0,2
来,来,7,lái,来字义较多，仅给出部分词语：～回。～往。过～。从～。向～。～年。将～。～日方长。胡～。上～。～了。一～。,come#coming#return,0,1
來,木从,1,lái,“来”的繁体字。,come#coming#return,0,2
上,一丨一,5,shàng#shǎng,上字义较多，仅给出部分词语：～边。～古。～等。～策。～山。～车。～升。～街。冲～去。～水。～刺刀。～药。～课。～弦。～账。晚～。锁～。～年纪。,top#superior#highest,0,3
大,大,59,dà#dài#tài,超过一般或超过所比较的对象，与“小”相对：～厅。#形容程度：～局。～众。#排行：老～。#敬辞：～作。#时间更远：～前年。#不详，不准：～概。,big#great#vast,0,1
为,为,3,wéi#wèi,做，行，做事：～人。～难。#当做，认做：以～。认～。#变成：成～。#治理，处理：～政。#被：～天下笑。#表示强调：大～恼火。,do#handle#govern,0,1
和,禾口,0,hé#hè#huó#huò#hú,相安，谐调：～美。～睦。～谐。#平静：温～。～平。#平息争端：～约。#连带：～盘托出。#连词，跟，同。#介词，向，对。#比赛不分胜负：～局,harmony#peace#peaceful,0,2
国,囗玉,3,guó,有土地、人民、主权的政体：～家。～土。～情。～法。～力。～防。～威。～宝。～格。～魂。～是。#特指中国的：～产。～货。～粹。～乐。～药。,nation#country#nation-state,0,2
地,土也,1,dì#de,地字义较多，仅给出部分词语：～球。～质。～壳。陆～。～下。土～。田～。～主。～区。～板。～毯。～点。目的～。易～以处。见～。境～。心～。质～。,earth#soil#ground,0,2
到,至刂,1,dào,从别处来：～达。～站。～来。～场。～任。～职。～案。签～。恰～好处。#往：～群众中去。#周全，全顾得着：周～。面面俱～。#成功：得～。办～。,go to#arrive#been to,0,2
