MITI,NANDU,MIDI,JIESHI
昨日归去又发火,3,炸,“昨”字的“日”归去后，与“火”组合，成为“炸”字。
此人排行第二#数数仅三笔，算算有万万,3,亿,“亿”字可拆分为“人乙”，“乙”用于作顺序第二的代称。#“亿”字的笔画只有三笔，“万万”换算为“一亿”。
黯然无声暮色浓,2,黑,“黯”字无声（音），即“黑”字。“暮色浓”暗示“黑”之意。
用刀削竹签,3,剑,用刀（刂）把“签”字的“竹”给削下来。
拆去前头#欲诉无言#这一点前所未有#一斤多一点,5,斥,“拆”字去掉前头，余下“斥”字。#“诉”字无“言”，余下“斥”字。#“所”字的前半部分没了，余下“斤”，与“一点”组合，可为“斥”字。#这题太简单了，反正不是一斤一两。
多人获优#鱿鱼售光,3,尤,“尤”字多了“人”之后，可成为“优”字。#“鱿”字的“鱼”售光了，剩下“尤”字。
支出减少一半,7,岐,“出”减少一半，为“山”字。
前人孔夫子#残兵,6,乒,“人”字的前面笔画为“丿”，“孔夫子”名“丘”，合为“乒”。#乒砰乒砰乒砰乒。
蟾宫告急,5,脆,“蟾宫”指月亮，“告急”提示“危”的字义。
早上一别人归来#文君传人,4,桌,“早上”二字中的“一”去掉，再与归来的“人”组合，成“桌”字。#“文君”即卓文君，借以扣“卓”，“卓”字传“人”便是“桌”字。
火速回来过中秋,1,种,“种”字与“火”组合，即为“中秋”。
席上少油水,5,庙,“席”字的上半部分为“广”；“油”字少了“水”，即为“由”字。
个个回来换新装,6,筒,“个个”组成“竹”；“回来换新装”别解为“回”字来换新装，“回”字笔画可重新组装成“同”。
一来就灭虫#灭掉一虫,6,烛,“一”来与“烛”字组合，即可成为“灭虫”。#“灭掉一”指“灭”字掉了“一”就成了“火”字，“火”遇上“虫”便是“烛”字。
幸福在前#视而不见就坐下,1,社,“幸福”二字的前头组合，可为“社”字。#“视”字没了“见”，为“礻”；“坐”字的下半部分为“土”。
有声有色,6,黯,“黯”字有“声音”，也有“颜色”。
招手告别#刃,4,召,“招”字的手告别了，剩下“召”。#谜底拆解为“刀口”，与谜面之义相扣。
九字不出头#动机不纯#一百减二#九十八#八九不离十#倒看八十九，正看九十八,3,杂,“不”字出了头之后，是“木”字，与“九”组成“杂”字。#“机”字的结构改动后，可成为“杂”字；“杂”字义扣“不纯”。#“一百减二”等于“九十八”。#“九”、“十”、“八”组成“杂”字。#“八”和“九”总爱粘着“十”。#这个不复“杂”吧。
横竖还有一斤米,2,断,“横竖”形似“乚”，还有一“斤”和“米”。
一脚迈进水草中,5,踏,“草”字中部为“日”。
女高音#霎时雨过,6,妾,“音”字的高处为“立”，与“女”组合成“妾”字。#“霎”字的“雨”过了。
人相爱，心亦随,4,恋,“心亦”伴随在一起，却为“恋”字。“人相爱”提示“恋”的字义。
沟中泉水清见底,3,鬼,“沟”字中间是“厶”，“泉”字清空“水”是“白”，“见”的底部是“儿”，合为“鬼”字。
双方来聚首#又有耳朵又有嘴，就是说话不干脆,7,嗫,“方”别解为“方格”，形扣“口”；“聚”字的首部是“耳”；“口”、“耳”、“双”组合，成为“嗫”字。#“嗫”字由“又、又、耳、口（嘴）”构成；“嗫”字义为吞吞吐吐，与谜面后半句相扣。
日落之时夺丰收,5,寿,“时”字掉落“日”，余下“寸”；“寸”夺去“丰”之后，便是“寿”字。
复来北京投远亲#在粮站左边,5,粒,“北京”别解为“京”字的最北部，为“丶”，重复来形成“丷”；“远亲”别解为“亲”字远离，成为“木立”。#“粮站”两字的左边（左半部分）。
今后要留心,2,念,“今”字后面留着“心”。
蚊子一一飞去了#文中有点改动#风中点残烛,6,蚁,“蚊子”二字的“一一”飞走，也去掉“了”，余下“蚁”字。#“文中”二字有“点”，再稍微改动一下，便得出“蚁”字。#“风”字的中心是“乂”，“烛”字残缺了一半为“虫”。
快先吹口哨,4,悄,“快”的先前是“忄”，“哨”字的“口”被吹了，剩下“肖”。
各自得钱却叫穷#分赃一半仍是穷,4,贫,“贫”字可拆解为“分贝”；古时，“贝”为货币。“叫穷”提示“贫”的字义。#“分赃”二字各取一半，还是穷。
适当从速辞退掉,6,辣,“适”字应当从“速辞”二字中退掉，剩下“束辛”，“束辛”合成“辣”。
木头搬进门,4,闲,“木”头搬进“门”里面。
台下少有喧哗声#炒一半，吃一半#少有上品#飞沙走石,6,吵,“台”字的下部为“口”与“少”组合，成为“吵”字。“喧哗声”提示“吵”的字义。#“炒”、“吃”二字各取一半，合为“吵”字。#“品”字的上半部分为“口”，与“少”组合成“吵”字。#“沙”飞了一部份为“少”，“石”走了一部份为“口”。
前程几许,6,秃,“程”字的前半部分是“禾”，再把“几”许配给“禾”就是“秃”字。
萤火虫不见了#萤火虫飞走了,6,荧,“萤火”二字的“虫”不见了，剩下“荧”字。#“萤火”二字的“虫”飞走了。
由字不出头，别当田字猜,8,柚,“不”字出头就是“木”字，“木”字加上“由”构成“柚”。
放弃前面就后悔#悔改之后,4,敏,“放”字弃掉前面的“方”，余下“攵”；“悔”字的后半部分为“每”；合为“敏”字。#“悔改”二字的后半部分组合，成为“敏”字。
开始向后仰,2,印,“开”字的起始为“一”，“仰”字后面为“卬”，合为“印”字。
只因用力少，质量就不好#少加一半就不好#一点点力不作为　,5,劣,“劣”，意为“不好”；“劣”字可拆解为“少力”。#“加”字的一半为“力”。#“力”气太“少”。
书声乐声和鼓声,2,股,谜底“股”字，可拆解为“月”、“殳”二字；“月”、“殳”二字分别与“乐”、“书”二字同音。“和股声”，别解为“‘月殳’合起来，发的是‘鼓’的音”。
猴年有雄心,4,伸,“猴年”又称“申猴年”，“雄”字的中心是“人”。
女子组#是儿是女全都行#安字去了盖，莫当女字猜#巾帼#安字去了盖莫当女字猜,1,好,“女子”组合，成为“好”字。#“儿（子）”与“女”，组合为“好”字。“全都行”提示“好”之意。#“安字”二字去了“盖”，剩下“女子”。#“巾帼”指古代妇女的头巾和发饰，借指女子。#“安、字”二字各去宝盖头。
前线有变,3,乡,“前线”指“线”字的前半部份，即“纟”。
两山之间月初来#三十减一,3,川,“山之间”指“山”字中间的一竖，“两山”即“两个竖”，“月”字的初笔是“丿”。#“三十”即“卅”。
将相和#先礼而后兵,6,斌,“将相”分别与“武文”相扣。#“斌”字，先“文”而后“武”。
中有一人颇自负,4,赖,“中、一、人”组成“束”字，“束”自“负”即“赖”字。
失火有因#四周围墙隔大火#四面不透风，老大困当中，三面没有事，一面用火攻,3,烟,“烟”字失去“火”，余下“因”字。#“烟”字形似一个“围墙”将“大火”隔离开。#“口”字四面不透风，老“大”困当中成“因”字；“因”字三面没事，其他一面有“火”。
儿落湖中#上有老头，下有老兄#打乱笔画巧安排#四化早日腾飞#十分之四,1,克,“湖”字的中间为“古”，与“儿”组合，成“克”字。#“老”字的头部，取“十”。#“乱”字的笔画打散后，可重新组成“克”字。#“四”字可化作为“兄”字，“早”字的“日”飞走了，剩下“十”。#“分之四”意思为把“四”拆分之，“四”便拆分为“口、儿”（兄）；“十”加上“兄”便是“克”。
三班值勤，不见一人,6,矗,三个“值”字都不见“人”。
秋分之后夜又长#千字头，木子腰，太阳出来从下照，人人都说味道好,3,香,“秋”字分离了后半部分，剩下“禾”；“夜长”即“日短”，“日”字短了是“曰”。#“香”字的上半部分为“千”，中间部分为“木”，“太阳”扣“日”。
个个争上前,6,筝,“个个”放置在“争”字的上（前）面，即为“筝”字。
不要哭泣,6,蹄,“蹄”字可拆解成“止啼”。
宣传绿化,2,请,“请”字可拆解成“言青”。
多点点就减#减少水分,6,咸,“咸”字多“点点”后，即成“减”字。#“减”字少了“水分（冫）”。
拾取禾穗,4,惠,“惠”字拾取到“禾”，就成“穗”字。
小心翼翼#但求少一点便是,1,水,“小”字的中心为“亅”；“翼翼”以象形法扣“水”字两侧的笔画。#“求”字少了“一点”，就成为“水”字。
一撇歪了，一横直了,6,孕,“一”和“一撇”、“了”可组合成“乃”字；“一横”与“了”可组成“子”字。
退休之后留下来#四方有人#连日不断有人来,6,佃,“休”字退去后半部分，剩下“人”；“留”字的下半部分为“田”。#“佃”字由四个方格再加一个人组成。#“连日”即两个日（田），“田”有“人”来。
雨一下，点点滴滴溅开#一来就猜中,6,巾,“雨”字将“一”卸下，再溅开“点点滴滴”，剩下“巾”。#“巾”加“一”就是“中”字。
服装进口#出口成衣#衣服中间有个洞#一口咬破衣,5,哀,“服装”扣“衣”，“衣”字进个“口”，就成“哀”字。#“哀”字出去“口”，剩下“衣”。#“衣”字的中间有一个洞，四方形的洞（口）。#按字叠起来就是了，就是衣被口咬破了而已。
自大一点不可爱#自大加一点,6,臭,“自、大、一点”组成“臭”，“臭”就难讨人喜欢。#“自”加上“大”再加一点。
大褂不要补,6,奎,“大褂”二字去掉“补”字，余下“奎”。
与人俱来#存心必怕,2,具,“具”字与“人”组合，可成为“俱”字。#“具”字存有“心”便是“惧”字。
金玉满堂,8,钰,“金”和“玉”都有了。
茶在壶中无人赏光,3,荣,“壶”字中间为“冖”；“茶”无“人”，剩下“艹木”；合为“荣”字，“荣”字义为“光荣”，与“赏光”之意相扣。
穷乡面貌改,8,窈,“穷乡”二字的面貌结构可改变成“窈”字。
扳着指头计算,7,擞,“数手”指。
寄人篱下#手到擒来,6,禽,“篱下”别解为“篱”字的下半部分，为“离”；寄“人”予“离”即为“禽”字。#“禽”字“手”一到就是“擒”字。
浦东十分需要人,5,傅,“浦”东边是“甫”，“十分”为一“寸”，“甫寸”需要“人”就是“傅”字。
有鸟差点入河中,6,呜,“有鸟差点”指“鸟”字少一点，即“乌”字；“河中”指“河”字中间的“口”。
亭台上下共明月,6,膏,“亭”上方，“台”下方，加上“月”可合成“膏”字。
无心留恋也如意,3,亦,“恋”字无心，即“亦”；“亦”字义为“也”。
取经先看西游记,2,纪,取“经”字的先头，为“纟”；“西游记”别解为“记”字的西半部分游走了，余下“己”。
一女扫地不用手,3,妇,一“女”，“扫”不用“手”就是“彐”。
没有零头#羚羊跑了#有点点冷,2,令,“零”字没有了前头，剩下“令”字。#“羚”字的“羊”跑了，剩下“令”字。#“令”字有“点点”即“冷”字。
前所未有#携手共言誓#加水就在山东，添草生在土中，要走始终不远，有点乱批一通,5,斤,“所”字的前半部分没了，余下“斤”。#“斤”字携“手”共“言”，就成为“誓”字。#“斤”字加“水”是“沂”字（沂：水名，发源于山东省），添“草”是“芹”字，要“走”是“近”字，有“点”是“斥”字。
先后投稿,3,搞,“投”字之先与“稿”字之后组合，可成为“搞”字。
加工方式,8,弋,“弋”加“工”方成为“式”字。
一到就来#好像不对头，就是不对头#正看八十八，倒看八十八，左看八十八，右看八十八，仔细一端详，好像一朵花,2,米,“米”字与到来的“一”组合，即为“来”字。#两个“不”字头部相对。#怎么看都像八十八。
开口唱#顾影明月下,5,昌,“昌”字有“口”，即“唱”。#“明月下”别解为“明”字的“月”去掉，剩下“日”；“顾影”义为“回头看看自己的影子”，“日顾影”即“昌”字。
穿下不穿上，站在院一旁,4,邪,“穿”字的下半部分是“牙”；“院一旁”指“院”字的一旁，是“阝”；“牙”站在“阝”即构成“邪”字。
打靶前后,1,把,“打靶”二字的前后部分组合，成为“把”字。
戒烟之后心自安,6,熄,“烟”字的后半部分戒去掉，剩下“火”，安上“心自”，便可组合成“熄”字。
黑狗不叫,3,默,一只沉默的“黑”色的“犬”。
附耳上来,3,付,“付”若要变成“附”字，须加上个“耳（阝）”才行。
像手不是手，胳膊往外扭#损耗未能一下降#笔帽不见了#像三不是三，竖弯钩右弯动物有了它，温暖过冬天,2,毛,“毛”，形似“手”字。#“耗”损去“未”，再下降“一”余下“毛”。#“笔”字的帽子（竹）不见了。#“毛”字像“三”，又有“竖弯钩”。
家中着火猪走失,4,灾,“豕”本义为“猪”，“家”中着“火”，且“豕”走失，即“灾”字。
机身改造,5,躲,“机身”二字的结构改造重组，可成“躲”字。
大计划小变动#讲师钟点费,2,读,“大计”二字的笔划与变动的“小”字可组合成“读”字。#卖言。
田里跑到田外，不作古字猜,3,叶,“田”字里面是“十”，“田”字外面是“口”，“十口”不作“古”字猜，可作“叶”字猜。
说的是十一寸#离别东坡起身谢#说话特别牛,3,诗,“说”与“言”相扣，可理解为“讠”，与“十一寸”组合，即为“诗”字。#“坡”字的东边离去，余下“土”；“起身谢”别解为“谢”字的“身”起开后，剩下“讨”。#“说话”扣“言（讠）”，“特”字别离“牛”后与“讠”可组成“诗”字。
忙中一直添差错#留心脑后#离别之后心牵挂,5,恼,“差错”形扣“乂”；“忙”字中间添加“一直”和“乂”，成“恼”字。#“脑”字的后半部分与“心”组合，成为“恼”字。#“离”字别去后半部分，牵挂上“心”，就是“恼”字。
工人团结力无穷,10,倥,“力无穷”别解为“穷”无“力”即“穴”字，“穴”字团结“工人”便是“倥”字。
左边有水右边有刀中间藏着一个宝,3,测,“水”即三点水，“刀”即立刀旁，中间是“宝贝”。
小心一点又没错#又得十分,1,对,“小”字中心，为“亅”，加上“一点又”便是“对”字；“对”字义为“没错”。#“十分”为一“寸”。
出勤不出力，只说不兑现,5,谨,“勤”字不出“力”，只出“堇”；“说”字的“兑”不出现，只现“讠”。
但见秋来泉水清,8,铂,“秋”与五行中的“金”相对应。“泉水清”，别解为“泉”字清除去“水”，余下“白”。
非得复习,7,翡,“复习”，别指“两个习字”，合成“羽”。
江河流水归一处,6,珂,“江河”流掉水，剩下“工可”，归“一”处后就是“珂”字。
有心撇下老李,6,悸,“撇”下面有个“李”便是“季”字，“季”字有“心（忄）”即“悸”。
缺一欠十,6,坎,“坎”字缺少“一”就是“十欠”。
同心改革抓重点#穿衣裳#高尔基,3,尚,“重点”别解为“两个点”；“同”字的中心“一”改革后与“重点”组合后，可成为“尚”字。#“尚”字穿上“衣”，便是“裳”字。#“高尔”二字的基底构成“尚”字。
把矛放树上,5,柔,“树”别解为“木”，“矛”放在“木”上。
抛开个人，上下一心#不负一生心,2,志,“个”字抛开“人”，余下“丨”；“上”字的下部为“一”；再添上“一心”，合为“志”字。#“不负”即“正”，“正”的符号是“十”，与“一心”可组成“志”字。
双双结合待吉时,6,缀,当“缀”字添上“吉”时，就成为“双双结”。
少点良心成积怨#没点良心，岂能恳切#金银耗尽为前情#良心没一点，休作恳字猜,4,恨,“良心”少了一“点”，即为“恨”字。“成积怨”提示谜底能成为“积怨”的意思，从而排除了“恳”字为谜底的可能性。#“良心”没了“点”，可成为“恨”或“恳”字；“岂能恳切”别解为“岂能用‘恳’字切合谜底”，故排除了“恳”字。#“银”字耗费去“金”，留下“艮”；“情”字的前半部分为“忄”。#“良心（忄）”二字组合起来，再减去一点。
一点樱桃献给君#半数取全景,6,琼,“樱桃”喻指女生的“小口”，与“一点”可组合成“京”字；“君”与“王”相扣。#“全景”各取一半。
洪水退去人安置#拱手让人,2,供,“洪”字的“水”退去，余下“共”，“共”字安上“人”，即“供”字。#“拱”的提手旁让给了“人”。
对方下马说脏话,4,骂,“对方”别解为两个方格，写成“口口”，下面添个“马”，即“骂”字；“说脏话”暗示“骂”的字义。
妇科一半看中医,6,矮,“妇科”二字各取一半，即“女禾”；“医”字中间是“矢”。
开一半票，提一半货,6,贾,“票”、“货”两字各要一半。
东边日出西边雨,8,汩,“汩”字东边是“日”，西边是“雨水”。
夫人走了#得天时，有人和#少夫人#人算不如天算#就在其中,1,二,“夫”字的“人”走了，余下“二”字。#“二”字有“人”来和，即可得出“天”字。#“夫”字少去“人”，余下“二”。#“人算”哪里不如“天算”了？只因“人算”少了“二”字。#“其”字的中间是“二”字。
上党多云#小桥约会人未至#学上边会下边，若不信试试看,5,尝,“党”字的上半部分与“云”组合，成为“尝”字。#“冖”以象形法扣“桥”；“会”字的“人”未至，即“云”字。#“尝”字由“学”字的上边和“会”字的下边组成。“尝”义为“尝试、试探”。
小桥流水风中没#小桥流水出凡尘#小桥流水有几多,2,沉,“冖”宛如小桥的形状；“风”字中心没了，剩下“几”。#“冖”宛如小桥的形状，“出凡尘”别解为“凡”字去掉“丶”，余下“几”。#“冖”宛如小桥的形状。
西线有战事,6,绒,“绒”字的西边为“纟”，“戎”义为“兵戎”。
八斤不足，六斤有余#戴上帽子是客人，不戴帽子是军人#一斤四两#差一点六斤,2,兵,“八斤”加起来不足构成“兵”字，“六斤”加起来构成“兵”字还余下一点。#“兵”戴上帽子是“宾”客，不戴帽子是“兵”。#“四两”别解为“两个四”，合计为“八”。#“斤、六”上下结构组合=“兵”字多一点。
无须烤火,2,考,“烤”无须“火”，余下“考”字。
人到几时有钞票,4,佩,钞票为钱币，“人”加“几”加“币”为“佩”字。
样子难看，扭头就走#马上动土不好看#七加一,5,丑,“样子难看”隐喻“丑”字；“扭”字的前头走了，还是剩下“丑”字。#“马”字的前头加上“土”，就是“丑”字；“丑”字义为不好看。#“7”“十”“一”组成“丑”字。
推开又来#出手不易,6,摊,推，让个位，给“又”字进去坐坐。#“不易”扣“难”，“难”来一“手”便是“摊”字。
一声犬吠破门出#闯王纵马到江边#出门便闻犬吠声#涧中落日映倒山,4,润,谜底“润”字可拆解成“汪门”，“汪”是犬吠的声音。#“闯王”把“马”放掉，剩下“闰”；“江”字的一边，取“氵”。#“润”字去掉“门”，便听到“汪”声。#“涧”中的“日”落下，“山”字倒映形成“王”字。
加上了方的，反而成了圆的#可省则省,1,员,“员”字加上“方（方形）”，反而成了“圆”字。#“可”、“则”各省略了一部分。
调查结果不公开#看似搞调查，变相游日本#合口味,6,昧,“查”字的结构调整后，可为“昧”字。“不公开”暗示“昧”的字义。#“查”字的结构调换后，可成为“昧”字；“日本”二字的笔划游走变了相貌之后，也可成为“昧”字。谜面两次扣合谜底。#“口”、“味”二字合起来即“昧”。
重心靠边戴草帽,4,懂,“重”、竖“心”旁、“草”字头。
一到春天变新貌,3,替,“替”字与“一”组合，就可以变成新的“春天”。
区字转变真可怕,4,凶,“区”字转变了个方位，变成可怕的“凶”字。
秋凉一夕人离去,5,歼,“秋凉”暗示“秋”字无“火”，剩下“禾”；“禾”字的“人”离去，余下“千”；“千”再与“夕”组合起来便是“歼”字。
人在底层#有人告诉就懂得#人在云上飞#空中飞人,1,会,“层”字的底部是“云”，与“人”组合成“会”字。#先有“人”，“告诉”即“云云”之类，合为“会”字。#“云”上有“人”。#“人”在“云”上。
文不像文，武不像武，一经凑合，有文有武#先后观战,3,戏,“戏”字的左边不像“文”，右边也不像“武”，凑合起来就是“戏”，戏剧里边有文也有武。#“戏”字由“观战”二字的先后部首组成。
有女可爱，以手抚之#天下大变,1,无,“无”字；有“女”，即“妩”字，有“可爱”之意；给以“手”，即“抚”字。#“天”字的下半部分发生了变化。
背后左右点火,6,脊,“背”字的后半部分为“月”，“月”字左右点起“火”。
春到山东,7,橹,“春”与五行中的“木”相扣，“山东”扣“鲁”，合成“橹”字。
水乡面貌改，一人爱在前,6,溪,“水乡”二字改变面貌后成为“氵幺”；“一人”构成“大”字；“爱在前”别解为“爱”字的前半部分，是“爫”。
还有三日是元旦#莫要杜兴做鬼脸#四边不见#元旦三日游#点点滴滴成百万#莫让杜兴做鬼脸#走四方,1,儿,“儿”与“三日”组合，可成为“元旦”二字。#杜兴，即《水浒传》人物，绰号“鬼脸儿”。“鬼脸儿”不要“鬼脸”，余下“儿”字。#“四”字的边框不见了，留下“儿”字。#“元旦”二字的“三日”游走了，余下“儿”字。#“儿”字加上“点点滴滴”，就是“兆”，“兆”作为单位，指百万。#《水浒传》人物杜兴，绰号鬼脸儿。#“四”字的外方框（口）走了，剩下“儿”字。
个个驾驶千里#个个骂不还口,6,笃,“个个”扣“竹”，“千里”扣“马”，合成“笃”字。#“骂”不要“口”，加上“个个”即为“笃”字。
临水建高楼,6,沮,“且”字象形“高楼”。
享乐在后#后生小子,3,孙,“孙”字由“享乐”二字的后半部分构成。#孙“小子”。
排除污水，大加称赞#损失不小#赔了血本,5,夸,“污”字排除去“水”，余下“亏”；“亏”加上“大”，合为“夸”字。“夸”的字义与“称赞”相通。#“亏大”了！#“亏”“大”了！
小羊小羊尾巴长，偏偏骑在牛身上,6,羞,在十二生肖中，“牛”被称为“丑牛”，“羊”骑在“丑”上面。
蛇行草上,2,异,生肖“蛇”与地支“巳”相扣。
先乘后加，最后得八#携刀进寺庙,2,杀,先“乘”后“加”，最后得“八”。#“杀”字携“刀（刂）”便是“刹”字，“刹”多指寺庙佛塔。
砍左边嗑右边,6,磕,“砍”字左边，“磕”字的右边。
有财无才苦折腾,5,喷,有“财”但无“才”，即“贝”字；“苦”字的笔画折腾一顿之后与“贝”字组成“喷”字。
